layer,geoid,topic,stratification,period,value
Zip code,54165,FVDEWVAR,ECO1,2018-2019,71
Zip code,54165,FVDEWVAR,EL1,2018-2019,1
Zip code,54165,FVDEWVAR,ENG3,2018-2019,71
Zip code,54165,FVDEWVAR,FEM3,2018-2019,22
Zip code,54165,FVDEWVAR,H,2018-2019,4
Zip code,54165,FVDEWVAR,KIN2,2018-2019,3
Zip code,54165,FVDEWVAR,MAL15,2018-2019,98
Zip code,54165,FVDEWVAR,NOT3,2018-2019,49
Zip code,54165,FVDEWVAR,P,2018-2019,34
Zip code,54165,FVDEWVAR,Q,2018-2019,18
Zip code,54165,FVDEWVAR,SWD1,2018-2019,56
Zip code,54165,FVDEWVAR,SWO1,2018-2019,64
Zip code,54165,FVDEWVAR,UNK4,2018-2019,48
Zip code,54165,FVDEWVAR,W,2018-2019,64
Zip code,54165,FVDEWVAR,X1012,2018-2019,9
Zip code,54165,FVDEWVAR,X113,2018-2019,7
Zip code,54165,FVDEWVAR,X1210,2018-2019,1
Zip code,54165,FVDEWVAR,X2N2,2018-2019,3
Zip code,54165,FVDEWVAR,X3R2,2018-2019,5
Zip code,54165,FVDEWVAR,X4T2,2018-2019,11
Zip code,54165,FVDEWVAR,X5T3,2018-2019,13
Zip code,54165,FVDEWVAR,X6T3,2018-2019,11
Zip code,54165,FVDEWVAR,X7T2,2018-2019,16
Zip code,54165,FVDEWVAR,X8T2,2018-2019,21
Zip code,54165,FVDEWVAR,X9T3,2018-2019,20
Zip code,54170,FVDEWVAR,,2018-2019,11
Zip code,54170,FVDEWVAR,ECO1,2018-2019,6
Zip code,54170,FVDEWVAR,ENG3,2018-2019,7
Zip code,54170,FVDEWVAR,FEM3,2018-2019,1
Zip code,54170,FVDEWVAR,MAL15,2018-2019,10
Zip code,54170,FVDEWVAR,NOT3,2018-2019,5
Zip code,54170,FVDEWVAR,SWD1,2018-2019,4
Zip code,54170,FVDEWVAR,SWO1,2018-2019,7
Zip code,54170,FVDEWVAR,UNK4,2018-2019,4
Zip code,54170,FVDEWVAR,UNK5,2018-2019,1
Zip code,54170,FVDEWVAR,W,2018-2019,10
Zip code,54170,FVDEWVAR,X113,2018-2019,1
Zip code,54170,FVDEWVAR,X4T2,2018-2019,2
Zip code,54170,FVDEWVAR,X7T2,2018-2019,5
Zip code,54170,FVDEWVAR,X9T3,2018-2019,3
Zip code,54901,FVDEWVAR,,2018-2019,1043
Zip code,54901,FVDEWVAR,A,2018-2019,4
Zip code,54901,FVDEWVAR,B,2018-2019,177
Zip code,54901,FVDEWVAR,ECO1,2018-2019,870
Zip code,54901,FVDEWVAR,EL1,2018-2019,24
Zip code,54901,FVDEWVAR,ENG3,2018-2019,933
Zip code,54901,FVDEWVAR,FEM3,2018-2019,334
Zip code,54901,FVDEWVAR,H,2018-2019,127
Zip code,54901,FVDEWVAR,KIN2,2018-2019,25
Zip code,54901,FVDEWVAR,MAL15,2018-2019,709
Zip code,54901,FVDEWVAR,NOT3,2018-2019,173
Zip code,54901,FVDEWVAR,Q,2018-2019,74
Zip code,54901,FVDEWVAR,SWD1,2018-2019,487
Zip code,54901,FVDEWVAR,SWO1,2018-2019,556
Zip code,54901,FVDEWVAR,UNK4,2018-2019,86
Zip code,54901,FVDEWVAR,UNK5,2018-2019,141
Zip code,54901,FVDEWVAR,W,2018-2019,520
Zip code,54901,FVDEWVAR,X1012,2018-2019,136
Zip code,54901,FVDEWVAR,X113,2018-2019,85
Zip code,54901,FVDEWVAR,X1210,2018-2019,22
