layer,geoid,topic,stratification,period,value
Zip code,54130,FVDEYLCV,SWD1,2024-2025,816
Zip code,54130,FVDEYLCV,SWO1,2024-2025,4077
Zip code,54130,FVDEYLCV,UNK2,2024-2025,100
Zip code,54130,FVDEYLCV,UNK7,2024-2025,573
Zip code,54130,FVDEYLCV,W,2024-2025,4085
Zip code,54130,FVDEYLCV,X1012,2024-2025,437
Zip code,54130,FVDEYLCV,X113,2024-2025,417
Zip code,54130,FVDEYLCV,X1210,2024-2025,456
Zip code,54130,FVDEYLCV,X1S2,2024-2025,268
Zip code,54130,FVDEYLCV,X2N2,2024-2025,296
Zip code,54130,FVDEYLCV,X3R2,2024-2025,298
Zip code,54130,FVDEYLCV,X4T2,2024-2025,279
Zip code,54130,FVDEYLCV,X5T3,2024-2025,297
Zip code,54130,FVDEYLCV,X6T3,2024-2025,376
Zip code,54130,FVDEYLCV,X7T2,2024-2025,406
Zip code,54130,FVDEYLCV,X8T2,2024-2025,420
Zip code,54130,FVDEYLCV,X9T3,2024-2025,410
Zip code,54136,FVDEYLCV,,2024-2025,3481
Zip code,54136,FVDEYLCV,A,2024-2025,110
Zip code,54136,FVDEYLCV,AUT2,2024-2025,49
Zip code,54136,FVDEYLCV,B,2024-2025,44
Zip code,54136,FVDEYLCV,ECO1,2024-2025,616
Zip code,54136,FVDEYLCV,EL1,2024-2025,69
Zip code,54136,FVDEYLCV,EMO1,2024-2025,54
Zip code,54136,FVDEYLCV,ENG3,2024-2025,3412
Zip code,54136,FVDEYLCV,FEM3,2024-2025,553
Zip code,54136,FVDEYLCV,H,2024-2025,194
Zip code,54136,FVDEYLCV,INT7,2024-2025,8
Zip code,54136,FVDEYLCV,K41,2024-2025,258
Zip code,54136,FVDEYLCV,KIN2,2024-2025,78
Zip code,54136,FVDEYLCV,MAL15,2024-2025,1754
Zip code,54136,FVDEYLCV,NOT2,2024-2025,3016
Zip code,54136,FVDEYLCV,NOT3,2024-2025,2865
Zip code,54136,FVDEYLCV,NOT4,2024-2025,3481
Zip code,54136,FVDEYLCV,OTH52,2024-2025,122
Zip code,54136,FVDEYLCV,P,2024-2025,10
Zip code,54136,FVDEYLCV,P1,2024-2025,1
Zip code,54136,FVDEYLCV,PK1,2024-2025,13
Zip code,54136,FVDEYLCV,Q,2024-2025,133
Zip code,54136,FVDEYLCV,SIG1,2024-2025,24
Zip code,54136,FVDEYLCV,SPE2,2024-2025,102
Zip code,54136,FVDEYLCV,SPE3,2024-2025,72
Zip code,54136,FVDEYLCV,SWD1,2024-2025,465
Zip code,54136,FVDEYLCV,SWO1,2024-2025,3016
Zip code,54136,FVDEYLCV,UNK2,2024-2025,34
Zip code,54136,FVDEYLCV,UNK7,2024-2025,1174
Zip code,54136,FVDEYLCV,W,2024-2025,2989
Zip code,54136,FVDEYLCV,X1012,2024-2025,393
Zip code,54136,FVDEYLCV,X113,2024-2025,385
Zip code,54136,FVDEYLCV,X1210,2024-2025,416
Zip code,54136,FVDEYLCV,X1S2,2024-2025,83
Zip code,54136,FVDEYLCV,X2N2,2024-2025,73
Zip code,54136,FVDEYLCV,X3R2,2024-2025,85
Zip code,54136,FVDEYLCV,X4T2,2024-2025,89
Zip code,54136,FVDEYLCV,X5T3,2024-2025,214
Zip code,54136,FVDEYLCV,X6T3,2024-2025,199
Zip code,54136,FVDEYLCV,X7T2,2024-2025,399
Zip code,54136,FVDEYLCV,X8T2,2024-2025,403
