layer,geoid,topic,stratification,period,value
Zip code,54902,FVDEWVAR,X1012,2024-2025,29
Zip code,54902,FVDEWVAR,X113,2024-2025,34
Zip code,54902,FVDEWVAR,X1210,2024-2025,14
Zip code,54902,FVDEWVAR,X1S2,2024-2025,48
Zip code,54902,FVDEWVAR,X2N2,2024-2025,31
Zip code,54902,FVDEWVAR,X3R2,2024-2025,24
Zip code,54902,FVDEWVAR,X4T2,2024-2025,28
Zip code,54902,FVDEWVAR,X5T3,2024-2025,33
Zip code,54902,FVDEWVAR,X6T3,2024-2025,9
Zip code,54902,FVDEWVAR,X7T2,2024-2025,16
Zip code,54902,FVDEWVAR,X8T2,2024-2025,41
Zip code,54902,FVDEWVAR,X9T3,2024-2025,51
Zip code,54904,FVDEWVAR,,2024-2025,35
Zip code,54904,FVDEWVAR,A,2024-2025,2
Zip code,54904,FVDEWVAR,B,2024-2025,1
Zip code,54904,FVDEWVAR,ECO1,2024-2025,13
Zip code,54904,FVDEWVAR,ENG3,2024-2025,35
Zip code,54904,FVDEWVAR,FEM3,2024-2025,5
Zip code,54904,FVDEWVAR,H,2024-2025,6
Zip code,54904,FVDEWVAR,KIN2,2024-2025,1
Zip code,54904,FVDEWVAR,MAL15,2024-2025,30
Zip code,54904,FVDEWVAR,NOT3,2024-2025,22
Zip code,54904,FVDEWVAR,Q,2024-2025,5
Zip code,54904,FVDEWVAR,SWD1,2024-2025,25
Zip code,54904,FVDEWVAR,SWO1,2024-2025,10
Zip code,54904,FVDEWVAR,UNK5,2024-2025,4
Zip code,54904,FVDEWVAR,W,2024-2025,17
Zip code,54904,FVDEWVAR,X1S2,2024-2025,3
Zip code,54904,FVDEWVAR,X2N2,2024-2025,5
Zip code,54904,FVDEWVAR,X3R2,2024-2025,1
Zip code,54904,FVDEWVAR,X4T2,2024-2025,1
Zip code,54904,FVDEWVAR,X5T3,2024-2025,1
Zip code,54904,FVDEWVAR,X6T3,2024-2025,14
Zip code,54904,FVDEWVAR,X7T2,2024-2025,3
Zip code,54904,FVDEWVAR,X8T2,2024-2025,6
Zip code,54911,FVDEWVAR,,2024-2025,191
Zip code,54911,FVDEWVAR,A,2024-2025,3
Zip code,54911,FVDEWVAR,B,2024-2025,8
Zip code,54911,FVDEWVAR,ECO1,2024-2025,160
Zip code,54911,FVDEWVAR,EL1,2024-2025,8
Zip code,54911,FVDEWVAR,ENG3,2024-2025,178
Zip code,54911,FVDEWVAR,FEM3,2024-2025,33
Zip code,54911,FVDEWVAR,H,2024-2025,20
Zip code,54911,FVDEWVAR,KIN2,2024-2025,14
Zip code,54911,FVDEWVAR,MAL15,2024-2025,157
Zip code,54911,FVDEWVAR,NOT3,2024-2025,31
