layer,geoid,topic,stratification,period,value,type
Zip code,53014,FDEWVAR,W,2023-2024,7,Zipcode-Removal
Zip code,53014,FDEWVAR,X1012,2023-2024,4,Zipcode-Removal
Zip code,53014,FDEWVAR,X1210,2023-2024,1,Zipcode-Removal
Zip code,53014,FDEWVAR,X7T2,2023-2024,2,Zipcode-Removal
Zip code,53014,FDEWVAR,X8T2,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,,2023-2024,15,Zipcode-Removal
Zip code,53061,FDEWVAR,ECO1,2023-2024,11,Zipcode-Removal
Zip code,53061,FDEWVAR,EL1,2023-2024,2,Zipcode-Removal
Zip code,53061,FDEWVAR,ENG3,2023-2024,13,Zipcode-Removal
Zip code,53061,FDEWVAR,FEM3,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,H,2023-2024,2,Zipcode-Removal
Zip code,53061,FDEWVAR,MAL15,2023-2024,12,Zipcode-Removal
Zip code,53061,FDEWVAR,NOT3,2023-2024,4,Zipcode-Removal
Zip code,53061,FDEWVAR,NOT4,2023-2024,15,Zipcode-Removal
Zip code,53061,FDEWVAR,Q,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,SWD1,2023-2024,5,Zipcode-Removal
Zip code,53061,FDEWVAR,SWO1,2023-2024,10,Zipcode-Removal
Zip code,53061,FDEWVAR,UNK2,2023-2024,15,Zipcode-Removal
Zip code,53061,FDEWVAR,UNK5,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,W,2023-2024,11,Zipcode-Removal
Zip code,53061,FDEWVAR,X1012,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,X113,2023-2024,3,Zipcode-Removal
Zip code,53061,FDEWVAR,X1210,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,X2N2,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,X4T2,2023-2024,1,Zipcode-Removal
Zip code,53061,FDEWVAR,X8T2,2023-2024,2,Zipcode-Removal
Zip code,53061,FDEWVAR,X9T3,2023-2024,4,Zipcode-Removal
Zip code,53088,FDEWVAR,,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,ECO1,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,ENG3,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,FEM3,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,MAL15,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,NOT3,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,NOT4,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,SWO1,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,UNK2,2023-2024,2,Zipcode-Removal
Zip code,53088,FDEWVAR,UNK4,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,UNK5,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,W,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,X113,2023-2024,1,Zipcode-Removal
Zip code,53088,FDEWVAR,X3R2,2023-2024,1,Zipcode-Removal
Zip code,54106,FDEWVAR,,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,MAL15,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,NOT3,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,NOT4,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,SWD1,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,UNK2,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,UNK4,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,W,2023-2024,2,Zipcode-Removal
Zip code,54106,FDEWVAR,X6T3,2023-2024,2,Zipcode-Removal
Zip code,54110,FDEWVAR,,2023-2024,21,Zipcode-Removal
Zip code,54110,FDEWVAR,ECO1,2023-2024,16,Zipcode-Removal
Zip code,54110,FDEWVAR,EL1,2023-2024,1,Zipcode-Removal
Zip code,54110,FDEWVAR,ENG3,2023-2024,20,Zipcode-Removal
Zip code,54110,FDEWVAR,FEM3,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,H,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,MAL15,2023-2024,18,Zipcode-Removal
Zip code,54110,FDEWVAR,NOT3,2023-2024,5,Zipcode-Removal
Zip code,54110,FDEWVAR,NOT4,2023-2024,21,Zipcode-Removal
Zip code,54110,FDEWVAR,Q,2023-2024,1,Zipcode-Removal
Zip code,54110,FDEWVAR,SWD1,2023-2024,12,Zipcode-Removal
Zip code,54110,FDEWVAR,SWO1,2023-2024,9,Zipcode-Removal
Zip code,54110,FDEWVAR,UNK2,2023-2024,21,Zipcode-Removal
Zip code,54110,FDEWVAR,UNK5,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,W,2023-2024,14,Zipcode-Removal
Zip code,54110,FDEWVAR,X1012,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,X113,2023-2024,5,Zipcode-Removal
Zip code,54110,FDEWVAR,X2N2,2023-2024,3,Zipcode-Removal
Zip code,54110,FDEWVAR,X6T3,2023-2024,4,Zipcode-Removal
Zip code,54110,FDEWVAR,X7T2,2023-2024,1,Zipcode-Removal
Zip code,54110,FDEWVAR,X9T3,2023-2024,5,Zipcode-Removal
Zip code,54113,FDEWVAR,,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,ECO1,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,ENG3,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,NOT4,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,Q,2023-2024,1,Zipcode-Removal
Zip code,54113,FDEWVAR,SWD1,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,UNK2,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,UNK7,2023-2024,3,Zipcode-Removal
Zip code,54113,FDEWVAR,W,2023-2024,2,Zipcode-Removal
Zip code,54113,FDEWVAR,X1S2,2023-2024,2,Zipcode-Removal
Zip code,54113,FDEWVAR,X2N2,2023-2024,1,Zipcode-Removal
Zip code,54129,FDEWVAR,,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,ECO1,2023-2024,1,Zipcode-Removal
Zip code,54129,FDEWVAR,EL1,2023-2024,4,Zipcode-Removal
Zip code,54129,FDEWVAR,ENG3,2023-2024,3,Zipcode-Removal
Zip code,54129,FDEWVAR,MAL15,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,NOT3,2023-2024,6,Zipcode-Removal
Zip code,54129,FDEWVAR,NOT4,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,SWO1,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,UNK2,2023-2024,7,Zipcode-Removal
Zip code,54129,FDEWVAR,UNK5,2023-2024,4,Zipcode-Removal
Zip code,54129,FDEWVAR,W,2023-2024,3,Zipcode-Removal
Zip code,54129,FDEWVAR,X5T3,2023-2024,1,Zipcode-Removal
Zip code,54129,FDEWVAR,X7T2,2023-2024,2,Zipcode-Removal
Zip code,54129,FDEWVAR,X8T2,2023-2024,3,Zipcode-Removal
Zip code,54129,FDEWVAR,X9T3,2023-2024,1,Zipcode-Removal
Zip code,54130,FDEWVAR,,2023-2024,361,Zipcode-Removal
Zip code,54130,FDEWVAR,A,2023-2024,4,Zipcode-Removal
Zip code,54130,FDEWVAR,ECO1,2023-2024,182,Zipcode-Removal
Zip code,54130,FDEWVAR,EL1,2023-2024,19,Zipcode-Removal
Zip code,54130,FDEWVAR,ENG3,2023-2024,272,Zipcode-Removal
Zip code,54130,FDEWVAR,FEM3,2023-2024,49,Zipcode-Removal
Zip code,54130,FDEWVAR,H,2023-2024,41,Zipcode-Removal
Zip code,54130,FDEWVAR,K41,2023-2024,1,Zipcode-Removal
Zip code,54130,FDEWVAR,KIN2,2023-2024,33,Zipcode-Removal
Zip code,54130,FDEWVAR,MAL15,2023-2024,283,Zipcode-Removal
Zip code,54130,FDEWVAR,NOT3,2023-2024,179,Zipcode-Removal
Zip code,54130,FDEWVAR,NOT4,2023-2024,361,Zipcode-Removal
Zip code,54130,FDEWVAR,Q,2023-2024,34,Zipcode-Removal
Zip code,54130,FDEWVAR,SWD1,2023-2024,205,Zipcode-Removal
Zip code,54130,FDEWVAR,SWO1,2023-2024,156,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK2,2023-2024,361,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK4,2023-2024,70,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK5,2023-2024,37,Zipcode-Removal
Zip code,54130,FDEWVAR,UNK7,2023-2024,29,Zipcode-Removal
Zip code,54130,FDEWVAR,W,2023-2024,245,Zipcode-Removal
Zip code,54130,FDEWVAR,X1012,2023-2024,25,Zipcode-Removal
Zip code,54130,FDEWVAR,X113,2023-2024,20,Zipcode-Removal
Zip code,54130,FDEWVAR,X1210,2023-2024,5,Zipcode-Removal
Zip code,54130,FDEWVAR,X1S2,2023-2024,27,Zipcode-Removal
Zip code,54130,FDEWVAR,X2N2,2023-2024,14,Zipcode-Removal
Zip code,54130,FDEWVAR,X3R2,2023-2024,49,Zipcode-Removal
Zip code,54130,FDEWVAR,X4T2,2023-2024,12,Zipcode-Removal
Zip code,54130,FDEWVAR,X5T3,2023-2024,30,Zipcode-Removal
Zip code,54130,FDEWVAR,X6T3,2023-2024,32,Zipcode-Removal
Zip code,54130,FDEWVAR,X7T2,2023-2024,46,Zipcode-Removal
Zip code,54130,FDEWVAR,X8T2,2023-2024,34,Zipcode-Removal
Zip code,54130,FDEWVAR,X9T3,2023-2024,33,Zipcode-Removal
Zip code,54136,FDEWVAR,,2023-2024,167,Zipcode-Removal
Zip code,54136,FDEWVAR,A,2023-2024,6,Zipcode-Removal
Zip code,54136,FDEWVAR,ECO1,2023-2024,70,Zipcode-Removal
Zip code,54136,FDEWVAR,EL1,2023-2024,9,Zipcode-Removal
Zip code,54136,FDEWVAR,ENG3,2023-2024,158,Zipcode-Removal
Zip code,54136,FDEWVAR,FEM3,2023-2024,23,Zipcode-Removal
Zip code,54136,FDEWVAR,H,2023-2024,18,Zipcode-Removal
Zip code,54136,FDEWVAR,KIN2,2023-2024,1,Zipcode-Removal
Zip code,54136,FDEWVAR,MAL15,2023-2024,130,Zipcode-Removal
