layer,geoid,topic,stratification,period,value
City or town,5556925,FVDEYLCV,K41,2025-2026,7
City or town,5556925,FVDEYLCV,KIN2,2025-2026,24
City or town,5556925,FVDEYLCV,MAL15,2025-2026,60
City or town,5556925,FVDEYLCV,NOT3,2025-2026,56
City or town,5556925,FVDEYLCV,P,2025-2026,1
City or town,5556925,FVDEYLCV,Q,2025-2026,6
City or town,5556925,FVDEYLCV,SWD1,2025-2026,26
City or town,5556925,FVDEYLCV,SWO1,2025-2026,80
City or town,5556925,FVDEYLCV,W,2025-2026,91
City or town,5556925,FVDEYLCV,X1S2,2025-2026,18
City or town,5556925,FVDEYLCV,X2N2,2025-2026,15
City or town,5556925,FVDEYLCV,X3R2,2025-2026,21
City or town,5556925,FVDEYLCV,X4T2,2025-2026,21
City or town,5559875,FVDEYLCV,,2025-2026,1044
City or town,5559875,FVDEYLCV,A,2025-2026,8
City or town,5559875,FVDEYLCV,B,2025-2026,10
City or town,5559875,FVDEYLCV,ECO1,2025-2026,295
City or town,5559875,FVDEYLCV,EL1,2025-2026,15
City or town,5559875,FVDEYLCV,ENG3,2025-2026,1029
City or town,5559875,FVDEYLCV,Error,2025-2026,2088
City or town,5559875,FVDEYLCV,FEM3,2025-2026,510
City or town,5559875,FVDEYLCV,H,2025-2026,80
City or town,5559875,FVDEYLCV,K41,2025-2026,69
City or town,5559875,FVDEYLCV,KIN2,2025-2026,75
City or town,5559875,FVDEYLCV,MAL15,2025-2026,534
City or town,5559875,FVDEYLCV,NOT3,2025-2026,749
City or town,5559875,FVDEYLCV,P,2025-2026,3
City or town,5559875,FVDEYLCV,PK1,2025-2026,5
City or town,5559875,FVDEYLCV,Q,2025-2026,45
City or town,5559875,FVDEYLCV,SWD1,2025-2026,171
City or town,5559875,FVDEYLCV,SWO1,2025-2026,873
City or town,5559875,FVDEYLCV,W,2025-2026,898
City or town,5559875,FVDEYLCV,X1012,2025-2026,73
City or town,5559875,FVDEYLCV,X113,2025-2026,85
City or town,5559875,FVDEYLCV,X1210,2025-2026,83
City or town,5559875,FVDEYLCV,X1S2,2025-2026,72
City or town,5559875,FVDEYLCV,X2N2,2025-2026,79
City or town,5559875,FVDEYLCV,X3R2,2025-2026,70
City or town,5559875,FVDEYLCV,X4T2,2025-2026,74
City or town,5559875,FVDEYLCV,X5T3,2025-2026,70
City or town,5559875,FVDEYLCV,X6T3,2025-2026,79
City or town,5559875,FVDEYLCV,X7T2,2025-2026,65
City or town,5559875,FVDEYLCV,X8T2,2025-2026,62
City or town,5559875,FVDEYLCV,X9T3,2025-2026,83
City or town,5560500,FVDEYLCV,,2025-2026,8925
City or town,5560500,FVDEYLCV,A,2025-2026,727
City or town,5560500,FVDEYLCV,B,2025-2026,988
City or town,5560500,FVDEYLCV,ECO1,2025-2026,4041
City or town,5560500,FVDEYLCV,EL1,2025-2026,793
City or town,5560500,FVDEYLCV,ENG3,2025-2026,8129
