layer,geoid,topic,stratification,period,value
City or town,5539650,FVDEYLCV,X1012,2024-2025,393
City or town,5539650,FVDEYLCV,X113,2024-2025,385
City or town,5539650,FVDEYLCV,X1210,2024-2025,416
City or town,5539650,FVDEYLCV,X9T3,2024-2025,393
City or town,5539650,FVDEYLCV,P1,2024-2025,1
City or town,5544950,FVDEYLCV,,2024-2025,1586
City or town,5544950,FVDEYLCV,NOT2,2024-2025,1257
City or town,5544950,FVDEYLCV,OTH52,2024-2025,63
City or town,5544950,FVDEYLCV,SPE2,2024-2025,39
City or town,5544950,FVDEYLCV,UNK2,2024-2025,144
City or town,5544950,FVDEYLCV,SWD1,2024-2025,236
City or town,5544950,FVDEYLCV,SWO1,2024-2025,1257
City or town,5544950,FVDEYLCV,EL1,2024-2025,58
City or town,5544950,FVDEYLCV,ENG3,2024-2025,1528
City or town,5544950,FVDEYLCV,ECO1,2024-2025,550
City or town,5544950,FVDEYLCV,NOT3,2024-2025,1036
City or town,5544950,FVDEYLCV,FEM3,2024-2025,570
City or town,5544950,FVDEYLCV,MAL15,2024-2025,851
City or town,5544950,FVDEYLCV,X5T3,2024-2025,116
City or town,5544950,FVDEYLCV,X6T3,2024-2025,114
City or town,5544950,FVDEYLCV,NOT4,2024-2025,1586
City or town,5544950,FVDEYLCV,P,2024-2025,14
City or town,5544950,FVDEYLCV,A,2024-2025,26
City or town,5544950,FVDEYLCV,B,2024-2025,40
City or town,5544950,FVDEYLCV,H,2024-2025,147
City or town,5544950,FVDEYLCV,Q,2024-2025,79
City or town,5544950,FVDEYLCV,W,2024-2025,1279
City or town,5544950,FVDEYLCV,X1S2,2024-2025,119
City or town,5544950,FVDEYLCV,X2N2,2024-2025,121
City or town,5544950,FVDEYLCV,X3R2,2024-2025,120
City or town,5544950,FVDEYLCV,X4T2,2024-2025,125
City or town,5544950,FVDEYLCV,X7T2,2024-2025,107
City or town,5544950,FVDEYLCV,X8T2,2024-2025,124
City or town,5544950,FVDEYLCV,KIN2,2024-2025,99
City or town,5544950,FVDEYLCV,AUT2,2024-2025,22
City or town,5544950,FVDEYLCV,EMO1,2024-2025,18
City or town,5544950,FVDEYLCV,SIG1,2024-2025,22
City or town,5544950,FVDEYLCV,SPE3,2024-2025,21
City or town,5544950,FVDEYLCV,K41,2024-2025,57
City or town,5544950,FVDEYLCV,PK1,2024-2025,4
City or town,5544950,FVDEYLCV,UNK7,2024-2025,165
City or town,5544950,FVDEYLCV,X1012,2024-2025,118
City or town,5544950,FVDEYLCV,X113,2024-2025,121
City or town,5544950,FVDEYLCV,X1210,2024-2025,129
City or town,5544950,FVDEYLCV,X9T3,2024-2025,112
City or town,5544950,FVDEYLCV,P1,2024-2025,1
City or town,5544950,FVDEYLCV,UNK6,2024-2025,93
City or town,5550825,FVDEYLCV,,2024-2025,3121
City or town,5550825,FVDEYLCV,AUT2,2024-2025,77
City or town,5550825,FVDEYLCV,EMO1,2024-2025,49
City or town,5550825,FVDEYLCV,NOT2,2024-2025,2497
City or town,5550825,FVDEYLCV,OTH52,2024-2025,142
City or town,5550825,FVDEYLCV,SPE2,2024-2025,134
City or town,5550825,FVDEYLCV,UNK2,2024-2025,68
City or town,5550825,FVDEYLCV,SWD1,2024-2025,624
